Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033119,1986,09,15.2,Y
IDCJAC0001,033119,1986,10,66.8,Y
IDCJAC0001,033119,1986,11,20.4,Y
IDCJAC0001,033119,1986,12,65.2,Y
IDCJAC0001,033119,1987,01,90.0,Y
IDCJAC0001,033119,1987,02,58.6,Y
IDCJAC0001,033119,1987,03,82.8,Y
IDCJAC0001,033119,1987,04,149.2,Y
IDCJAC0001,033119,1987,05,61.2,Y
IDCJAC0001,033119,1987,06,84.0,Y
IDCJAC0001,033119,1987,07,83.0,Y
IDCJAC0001,033119,1987,08,11.0,Y
IDCJAC0001,033119,1987,09,12.4,Y
IDCJAC0001,033119,1987,10,32.6,Y
IDCJAC0001,033119,1987,11,105.8,Y
IDCJAC0001,033119,1987,12,24.0,Y
IDCJAC0001,033119,1988,01,203.0,Y
IDCJAC0001,033119,1988,02,366.8,Y
IDCJAC0001,033119,1988,03,485.0,Y
IDCJAC0001,033119,1988,04,161.6,Y
IDCJAC0001,033119,1988,05,93.8,Y
IDCJAC0001,033119,1988,06,151.2,Y
IDCJAC0001,033119,1988,07,269.2,Y
IDCJAC0001,033119,1988,08,122.0,Y
IDCJAC0001,033119,1988,09,4.6,Y
IDCJAC0001,033119,1988,10,6.4,Y
IDCJAC0001,033119,1988,11,212.2,Y
IDCJAC0001,033119,1988,12,390.0,Y
IDCJAC0001,033119,1989,01,122.0,Y
IDCJAC0001,033119,1989,02,339.8,Y
IDCJAC0001,033119,1989,03,334.8,Y
IDCJAC0001,033119,1989,04,521.4,Y
IDCJAC0001,033119,1989,05,221.6,Y
IDCJAC0001,033119,1989,06,97.6,Y
IDCJAC0001,033119,1989,07,70.2,Y
IDCJAC0001,033119,1989,08,3.6,Y
IDCJAC0001,033119,1989,09,0.2,Y
IDCJAC0001,033119,1989,10,9.2,Y
IDCJAC0001,033119,1989,11,134.4,Y
IDCJAC0001,033119,1989,12,43.8,Y
