Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,088023,2011,06,13.1,Y
IDCJAC0002,088023,2011,07,12.4,Y
IDCJAC0002,088023,2011,08,15.7,Y
IDCJAC0002,088023,2011,09,17.7,Y
IDCJAC0002,088023,2011,10,20.9,Y
IDCJAC0002,088023,2011,11,24.5,Y
IDCJAC0002,088023,2011,12,26.3,Y
IDCJAC0002,088023,2012,01,29.5,Y
IDCJAC0002,088023,2012,02,28.2,Y
IDCJAC0002,088023,2012,03,23.4,Y
IDCJAC0002,088023,2012,04,21.2,Y
IDCJAC0002,088023,2012,05,15.3,Y
IDCJAC0002,088023,2012,06,12.4,Y
IDCJAC0002,088023,2012,07,12.5,Y
IDCJAC0002,088023,2012,08,13.3,Y
IDCJAC0002,088023,2012,09,17.3,Y
IDCJAC0002,088023,2012,10,20.2,Y
IDCJAC0002,088023,2012,11,25.3,Y
IDCJAC0002,088023,2012,12,27.1,Y
IDCJAC0002,088023,2013,01,31.8,Y
IDCJAC0002,088023,2013,02,31.7,Y
IDCJAC0002,088023,2013,03,27.0,Y
IDCJAC0002,088023,2013,04,21.6,Y
IDCJAC0002,088023,2013,05,16.7,Y
IDCJAC0002,088023,2013,06,13.8,Y
IDCJAC0002,088023,2013,07,13.5,Y
IDCJAC0002,088023,2013,08,13.9,Y
IDCJAC0002,088023,2013,09,18.5,Y
IDCJAC0002,088023,2013,10,19.4,Y
IDCJAC0002,088023,2013,11,23.2,Y
IDCJAC0002,088023,2013,12,27.4,Y
IDCJAC0002,088023,2014,01,31.6,Y
IDCJAC0002,088023,2014,02,31.0,Y
IDCJAC0002,088023,2014,03,26.7,Y
IDCJAC0002,088023,2014,04,20.6,Y
IDCJAC0002,088023,2014,05,17.2,Y
IDCJAC0002,088023,2014,06,13.7,Y
IDCJAC0002,088023,2014,07,12.2,Y
IDCJAC0002,088023,2014,08,15.2,Y
IDCJAC0002,088023,2014,09,18.3,Y
IDCJAC0002,088023,2014,10,22.8,Y
IDCJAC0002,088023,2014,11,25.4,Y
IDCJAC0002,088023,2014,12,27.9,Y
IDCJAC0002,088023,2015,01,28.7,Y
IDCJAC0002,088023,2015,02,31.0,Y
IDCJAC0002,088023,2015,03,24.6,Y
IDCJAC0002,088023,2015,04,20.4,Y
IDCJAC0002,088023,2015,05,15.9,Y
IDCJAC0002,088023,2015,06,12.6,Y
IDCJAC0002,088023,2015,07,11.5,Y
IDCJAC0002,088023,2015,08,13.2,Y
IDCJAC0002,088023,2015,09,17.9,Y
IDCJAC0002,088023,2015,10,26.0,Y
IDCJAC0002,088023,2015,11,25.5,Y
IDCJAC0002,088023,2015,12,30.5,Y
IDCJAC0002,088023,2016,01,29.3,Y
IDCJAC0002,088023,2016,02,29.8,Y
IDCJAC0002,088023,2016,03,29.1,Y
IDCJAC0002,088023,2016,04,23.5,Y
IDCJAC0002,088023,2016,05,16.9,Y
IDCJAC0002,088023,2016,06,12.0,Y
IDCJAC0002,088023,2016,07,12.7,Y
IDCJAC0002,088023,2016,08,14.6,Y
IDCJAC0002,088023,2016,09,15.9,Y
IDCJAC0002,088023,2016,10,18.5,Y
IDCJAC0002,088023,2016,11,23.4,Y
IDCJAC0002,088023,2016,12,27.8,Y
IDCJAC0002,088023,2017,01,30.6,Y
IDCJAC0002,088023,2017,02,28.4,Y
IDCJAC0002,088023,2017,03,29.9,Y
IDCJAC0002,088023,2017,04,21.3,Y
IDCJAC0002,088023,2017,05,16.3,Y
IDCJAC0002,088023,2017,06,12.3,Y
IDCJAC0002,088023,2017,07,12.7,Y
IDCJAC0002,088023,2017,08,13.3,Y
IDCJAC0002,088023,2017,09,16.7,Y
IDCJAC0002,088023,2017,10,21.8,Y
IDCJAC0002,088023,2017,11,27.7,Y
IDCJAC0002,088023,2017,12,27.9,Y
IDCJAC0002,088023,2018,01,31.4,Y
IDCJAC0002,088023,2018,02,29.5,Y
